internship_title,company_name,category,location,work_mode,start_date,duration,stipend,currency,stipend_type,payment_period,has_incentives,stipend_min,stipend_max,stipend_average,search_text
Social Media Marketing,Gursidak Foundation,Marketing / Sales,Work From Home,Work From Home,Immediately,3 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Social Media Marketing Gursidak Foundation Marketing / Sales Work From Home Work From Home 3 Months Unpaid No Fixed Currency
Content Writing,Adorilabs,Writing / Content,Work From Home,Work From Home,Immediately,3 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Content Writing Adorilabs Writing / Content Work From Home Work From Home 3 Months Paid Amount SGD
Human Resources (HR),Khichad Consultancy,HR / Admin / Operations,Jaipur,On-site,Immediately,3 Months,S$ 27 /month,SGD,Paid Amount,Per Month,False,27.0,27.0,27.0,Human Resources (HR) Khichad Consultancy HR / Admin / Operations Jaipur On-site 3 Months Paid Amount SGD
Event Management,Eva Live LLP,HR / Admin / Operations,Delhi,On-site,Immediately,3 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Event Management Eva Live LLP HR / Admin / Operations Delhi On-site 3 Months Paid Amount SGD
E-Commerce Sales,Campinators,Marketing / Sales,Work From Home,Work From Home,Immediately,3 Months,S$ 106 /month + Incentives,SGD,Paid Amount,Per Month,True,106.0,106.0,106.0,E-Commerce Sales Campinators Marketing / Sales Work From Home Work From Home 3 Months Paid Amount SGD
Data Entry,Gamahouse Publishing,Technology / Data,Work From Home,Work From Home,Immediately,3 Months,S$ 13 /month,SGD,Paid Amount,Per Month,False,13.0,13.0,13.0,Data Entry Gamahouse Publishing Technology / Data Work From Home Work From Home 3 Months Paid Amount SGD
Front End Operator,Shubham Varshney,Other,Meerut,On-site,Immediately,3 Months,S$ 27 /month,SGD,Paid Amount,Per Month,False,27.0,27.0,27.0,Front End Operator Shubham Varshney Other Meerut On-site 3 Months Paid Amount SGD
Academic Content Expert - Statistics (English),QA Solvers,Writing / Content,Varanasi,On-site,Immediately,3 Months,S$ 200-293 /month,SGD,Paid Amount,Per Month,False,200.0,293.0,246.5,Academic Content Expert - Statistics (English) QA Solvers Writing / Content Varanasi On-site 3 Months Paid Amount SGD
Academic Content Expert - Economics (English),QA Solvers,Writing / Content,Noida,On-site,Immediately,3 Months,S$ 200-293 /month,SGD,Paid Amount,Per Month,False,200.0,293.0,246.5,Academic Content Expert - Economics (English) QA Solvers Writing / Content Noida On-site 3 Months Paid Amount SGD
MIS Executive,Keystone Real Estate Advisory Pvt. Ltd.,Other,Mumbai,On-site,Immediately,3 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,MIS Executive Keystone Real Estate Advisory Pvt. Ltd. Other Mumbai On-site 3 Months Paid Amount SGD
Web Development,Joints Health Private Limited,Technology / Data,Delhi,On-site,Immediately,3 Months,S$ 80 /month + Incentives,SGD,Paid Amount,Per Month,True,80.0,80.0,80.0,Web Development Joints Health Private Limited Technology / Data Delhi On-site 3 Months Paid Amount SGD
Statistics,Digipplus,Other,Work From Home,Work From Home,Immediately,3 Months,S$ 333-399 /month,SGD,Paid Amount,Per Month,False,333.0,399.0,366.0,Statistics Digipplus Other Work From Home Work From Home 3 Months Paid Amount SGD
Psychology,Serve Samman,Other,Delhi,On-site,Immediately,3 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Psychology Serve Samman Other Delhi On-site 3 Months Unpaid No Fixed Currency
Applications For Data Entry (Content Writing) Internship,GiveIndia,Technology / Data,Work From Home,Work From Home,Immediately,3 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Applications For Data Entry (Content Writing) Internship GiveIndia Technology / Data Work From Home Work From Home 3 Months Paid Amount SGD
Human Resources (HR),Hyundai Electronics,HR / Admin / Operations,Gurgaon,On-site,Immediately,3 Months,S$ 27 /month,SGD,Paid Amount,Per Month,False,27.0,27.0,27.0,Human Resources (HR) Hyundai Electronics HR / Admin / Operations Gurgaon On-site 3 Months Paid Amount SGD
Logistics And Operations,HealthFlex,HR / Admin / Operations,Bangalore,On-site,Immediately,3 Months,S$ 200-333 /month,SGD,Paid Amount,Per Month,False,200.0,333.0,266.5,Logistics And Operations HealthFlex HR / Admin / Operations Bangalore On-site 3 Months Paid Amount SGD
Business Development,Slikk,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 93 /month,SGD,Paid Amount,Per Month,False,93.0,93.0,93.0,Business Development Slikk Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Web Development & Digital Marketing,Kaspr International,Technology / Data,Pune,On-site,Immediately,6 Months,S$ 80 /month,SGD,Paid Amount,Per Month,False,80.0,80.0,80.0,Web Development & Digital Marketing Kaspr International Technology / Data Pune On-site 6 Months Paid Amount SGD
Social Media Marketing,Dscovr Journeys Private Limited,Marketing / Sales,Mumbai,On-site,Immediately,6 Months,S$ 106 /month,SGD,Paid Amount,Per Month,False,106.0,106.0,106.0,Social Media Marketing Dscovr Journeys Private Limited Marketing / Sales Mumbai On-site 6 Months Paid Amount SGD
Finance,Nitika Agarwal,Finance / Accounting,Patna,On-site,Immediately,6 Months,"₹ 2,000 lump sum +  Incentives",INR,Paid Amount,Lump Sum,True,2000.0,2000.0,2000.0,Finance Nitika Agarwal Finance / Accounting Patna On-site 6 Months Paid Amount INR
Content Writing,Failure Before Success,Writing / Content,Work From Home,Work From Home,Immediately,6 Months,S$ 33 /month,SGD,Paid Amount,Per Month,False,33.0,33.0,33.0,Content Writing Failure Before Success Writing / Content Work From Home Work From Home 6 Months Paid Amount SGD
Fundraising,Tejaswini Samajik Sanstha,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 13 /month + Incentives,SGD,Paid Amount,Per Month,True,13.0,13.0,13.0,Fundraising Tejaswini Samajik Sanstha Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Social Media Content,Vedant More,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 13-20 /month,SGD,Paid Amount,Per Month,False,13.0,20.0,16.5,Social Media Content Vedant More Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Marketing,UpCurve Business Services Private Limited,Marketing / Sales,Pune,On-site,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Marketing UpCurve Business Services Private Limited Marketing / Sales Pune On-site 6 Months Paid Amount SGD
Product Support Engineering,Salesken,Other,Indiranagara,On-site,Immediately,6 Months,S$ 266 /month,SGD,Paid Amount,Per Month,False,266.0,266.0,266.0,Product Support Engineering Salesken Other Indiranagara On-site 6 Months Paid Amount SGD
Business Strategy,Talentship Global Advisory Forum,Other,Work From Home,Work From Home,Immediately,6 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Business Strategy Talentship Global Advisory Forum Other Work From Home Work From Home 6 Months Unpaid No Fixed Currency
Digital Marketing,Techno Start,Marketing / Sales,Pune,On-site,Immediately,6 Months,S$ 67-80 /month,SGD,Paid Amount,Per Month,False,67.0,80.0,73.5,Digital Marketing Techno Start Marketing / Sales Pune On-site 6 Months Paid Amount SGD
Social Media,Divyangna Sharma,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 53 /month,SGD,Paid Amount,Per Month,False,53.0,53.0,53.0,Social Media Divyangna Sharma Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Python And Java Machine Learning (OpenAI GPT),Arakoo.ai,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Python And Java Machine Learning (OpenAI GPT) Arakoo.ai Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Video Making/Editing,Marketing Moves,Design / Creative,Work From Home,Work From Home,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Video Making/Editing Marketing Moves Design / Creative Work From Home Work From Home 6 Months Paid Amount SGD
Business Development Intern (IT Sales),Amit  Khandekar,Technology / Data,Pune,On-site,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Business Development Intern (IT Sales) Amit  Khandekar Technology / Data Pune On-site 6 Months Paid Amount SGD
Business Development (Sales),Innovation Consultants,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 53 /month,SGD,Paid Amount,Per Month,False,53.0,53.0,53.0,Business Development (Sales) Innovation Consultants Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Social Media Marketing,Tanay Hargunaney,Marketing / Sales,Taleigao,On-site,Immediately,6 Months,S$ 27-133 /month,SGD,Paid Amount,Per Month,False,27.0,133.0,80.0,Social Media Marketing Tanay Hargunaney Marketing / Sales Taleigao On-site 6 Months Paid Amount SGD
Human Resources (HR),Sparsa Digital Private Limited,HR / Admin / Operations,Gurgaon,On-site,Immediately,6 Months,S$ 67-133 /month,SGD,Paid Amount,Per Month,False,67.0,133.0,100.0,Human Resources (HR) Sparsa Digital Private Limited HR / Admin / Operations Gurgaon On-site 6 Months Paid Amount SGD
Operations,GeoSustain Association,HR / Admin / Operations,Work From Home,Work From Home,Immediately,6 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Operations GeoSustain Association HR / Admin / Operations Work From Home Work From Home 6 Months Unpaid No Fixed Currency
Website or WordPress Development,Point Blank Range Pvt Ltd,Technology / Data,Delhi,On-site,Immediately,6 Months,S$ 27-67 /month,SGD,Paid Amount,Per Month,False,27.0,67.0,47.0,Website or WordPress Development Point Blank Range Pvt Ltd Technology / Data Delhi On-site 6 Months Paid Amount SGD
Child Psychology,Starlit Ability Enhancement Services Private Limited,Other,Pune,On-site,Immediately,6 Months,S$ 80-133 /month,SGD,Paid Amount,Per Month,False,80.0,133.0,106.5,Child Psychology Starlit Ability Enhancement Services Private Limited Other Pune On-site 6 Months Paid Amount SGD
Media & Public Relations (PR),De Chevalerie En Rouge,Other,Delhi,On-site,Not specified,6 Months,S$ 93-160 /month,SGD,Paid Amount,Per Month,False,93.0,160.0,126.5,Media & Public Relations (PR) De Chevalerie En Rouge Other Delhi On-site 6 Months Paid Amount SGD
Social Media Marketing,Bodii,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 40 /month,SGD,Paid Amount,Per Month,False,40.0,40.0,40.0,Social Media Marketing Bodii Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Digital Marketing,Aranya Aura Private Limited,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Digital Marketing Aranya Aura Private Limited Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Company Secretary (CS),A&Y Associates,Other,Mumbai,On-site,Immediately,6 Months,S$ 67-200 /month,SGD,Paid Amount,Per Month,False,67.0,200.0,133.5,Company Secretary (CS) A&Y Associates Other Mumbai On-site 6 Months Paid Amount SGD
Social Media Management,Kainaz Daver,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 93 /month,SGD,Paid Amount,Per Month,False,93.0,93.0,93.0,Social Media Management Kainaz Daver Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Photography,Arts Shala,Design / Creative,Delhi,On-site,Immediately,6 Months,S$ 53 /month + Incentives,SGD,Paid Amount,Per Month,True,53.0,53.0,53.0,Photography Arts Shala Design / Creative Delhi On-site 6 Months Paid Amount SGD
Business Development (Sales),Maa Jagdama Ventures (PrintF),Technology / Data,Bangalore,On-site,Immediately,6 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Business Development (Sales) Maa Jagdama Ventures (PrintF) Technology / Data Bangalore On-site 6 Months Paid Amount SGD
Digital Marketing,The Square Prints,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 27-200 /month,SGD,Paid Amount,Per Month,False,27.0,200.0,113.5,Digital Marketing The Square Prints Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Digital Marketing,Flashy Panels,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Digital Marketing Flashy Panels Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Social Media Marketing & Lead Generation,Right Digital Service,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 67-106 /month,SGD,Paid Amount,Per Month,False,67.0,106.0,86.5,Social Media Marketing & Lead Generation Right Digital Service Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Video Creation,Top Talent Bridge,Design / Creative,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Video Creation Top Talent Bridge Design / Creative Work From Home Work From Home 6 Months Paid Amount SGD
Business Development (Sales),Dixit Global Tech IT Solutions Private Limited,Technology / Data,Bangalore,On-site,Immediately,6 Months,S$ 27 /month + Incentives,SGD,Paid Amount,Per Month,True,27.0,27.0,27.0,Business Development (Sales) Dixit Global Tech IT Solutions Private Limited Technology / Data Bangalore On-site 6 Months Paid Amount SGD
Digital Marketing,DigiKind Co. (DKC),Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 40 /month,SGD,Paid Amount,Per Month,False,40.0,40.0,40.0,Digital Marketing DigiKind Co. (DKC) Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Script Review,Quizzy,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Script Review Quizzy Other Work From Home Work From Home 6 Months Paid Amount SGD
Webflow Design,BuildSuite,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Webflow Design BuildSuite Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Founder's Office,Growth4x,HR / Admin / Operations,Work From Home,Work From Home,Immediately,6 Months,S$ 20 /month + Incentives,SGD,Paid Amount,Per Month,True,20.0,20.0,20.0,Founder's Office Growth4x HR / Admin / Operations Work From Home Work From Home 6 Months Paid Amount SGD
Business Development,Gyansthan Education Services LLP,Technology / Data,Mumbai,On-site,Immediately,6 Months,S$ 40 /month + Incentives,SGD,Paid Amount,Per Month,True,40.0,40.0,40.0,Business Development Gyansthan Education Services LLP Technology / Data Mumbai On-site 6 Months Paid Amount SGD
UX/UI Design,D'Skin Lab,Design / Creative,Work From Home,Work From Home,Immediately,6 Months,S$ 67-133 /month,SGD,Paid Amount,Per Month,False,67.0,133.0,100.0,UX/UI Design D'Skin Lab Design / Creative Work From Home Work From Home 6 Months Paid Amount SGD
Business Development (Sales),Technest Learning,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 53 /month,SGD,Paid Amount,Per Month,False,53.0,53.0,53.0,Business Development (Sales) Technest Learning Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Film And Video Editing,Stirring Minds,Design / Creative,Delhi,On-site,Immediately,6 Months,S$ 80-160 /month,SGD,Paid Amount,Per Month,False,80.0,160.0,120.0,Film And Video Editing Stirring Minds Design / Creative Delhi On-site 6 Months Paid Amount SGD
Chemistry/Statistics - Subject Matter Expert,CloudBird Digital Private Limited,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 80 /month,SGD,Paid Amount,Per Month,False,80.0,80.0,80.0,Chemistry/Statistics - Subject Matter Expert CloudBird Digital Private Limited Other Work From Home Work From Home 6 Months Paid Amount SGD
Content Writing,Househat,Writing / Content,Pune,On-site,Immediately,6 Months,S$ 106 /month,SGD,Paid Amount,Per Month,False,106.0,106.0,106.0,Content Writing Househat Writing / Content Pune On-site 6 Months Paid Amount SGD
International Business Development,Stirring Minds,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 13-40 /month,SGD,Paid Amount,Per Month,False,13.0,40.0,26.5,International Business Development Stirring Minds Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Facebook Ad Management,Stirring Minds,HR / Admin / Operations,Delhi,On-site,Immediately,6 Months,S$ 80-106 /month,SGD,Paid Amount,Per Month,False,80.0,106.0,93.0,Facebook Ad Management Stirring Minds HR / Admin / Operations Delhi On-site 6 Months Paid Amount SGD
Search Engine Optimization (SEO),Adroitent Incorporation,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Search Engine Optimization (SEO) Adroitent Incorporation Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Business Development (Sales),PNT Academy,Technology / Data,Ambernath,On-site,Immediately,6 Months,S$ 67-133 /month,SGD,Paid Amount,Per Month,False,67.0,133.0,100.0,Business Development (Sales) PNT Academy Technology / Data Ambernath On-site 6 Months Paid Amount SGD
Marketing,Ritikaa Enterprises Private Limited,Marketing / Sales,Mumbai,On-site,Not specified,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Marketing Ritikaa Enterprises Private Limited Marketing / Sales Mumbai On-site 6 Months Paid Amount SGD
Administration And Operations,ASMI Not-For-Profit,HR / Admin / Operations,Gurgaon,On-site,Immediately,6 Months,S$ 13-53 /month,SGD,Paid Amount,Per Month,False,13.0,53.0,33.0,Administration And Operations ASMI Not-For-Profit HR / Admin / Operations Gurgaon On-site 6 Months Paid Amount SGD
Electrical Engineering,Elecnovo Private Limited,Other,Bangalore,On-site,Immediately,6 Months,S$ 106-133 /month,SGD,Paid Amount,Per Month,False,106.0,133.0,119.5,Electrical Engineering Elecnovo Private Limited Other Bangalore On-site 6 Months Paid Amount SGD
Digital Marketing,FX Retina,Marketing / Sales,Lucknow,On-site,Immediately,6 Months,S$ 53-106 /month,SGD,Paid Amount,Per Month,False,53.0,106.0,79.5,Digital Marketing FX Retina Marketing / Sales Lucknow On-site 6 Months Paid Amount SGD
Food Science,Cosy Farms,Other,Mumbai,On-site,Immediately,6 Months,S$ 53-106 /month,SGD,Paid Amount,Per Month,False,53.0,106.0,79.5,Food Science Cosy Farms Other Mumbai On-site 6 Months Paid Amount SGD
Supply Chain Management (SCM),PickYourTrail,Technology / Data,Chennai,On-site,Immediately,6 Months,S$ 106 /month,SGD,Paid Amount,Per Month,False,106.0,106.0,106.0,Supply Chain Management (SCM) PickYourTrail Technology / Data Chennai On-site 6 Months Paid Amount SGD
Algorithm Development,CogniFirst Technologies,Technology / Data,Bangalore,On-site,Immediately,6 Months,S$ 266 /month,SGD,Paid Amount,Per Month,False,266.0,266.0,266.0,Algorithm Development CogniFirst Technologies Technology / Data Bangalore On-site 6 Months Paid Amount SGD
Web And Mobile App Development,MXPERTZ,Technology / Data,Indore,On-site,Immediately,6 Months,S$ 27 /month,SGD,Paid Amount,Per Month,False,27.0,27.0,27.0,Web And Mobile App Development MXPERTZ Technology / Data Indore On-site 6 Months Paid Amount SGD
Business Development (Sales),Creative Ally,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Business Development (Sales) Creative Ally Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Office Admin,Househat,HR / Admin / Operations,Pune,On-site,Immediately,6 Months,S$ 93 /month,SGD,Paid Amount,Per Month,False,93.0,93.0,93.0,Office Admin Househat HR / Admin / Operations Pune On-site 6 Months Paid Amount SGD
Multimedia Production,Stirring Minds,Other,Delhi,On-site,Immediately,6 Months,S$ 67-146 /month,SGD,Paid Amount,Per Month,False,67.0,146.0,106.5,Multimedia Production Stirring Minds Other Delhi On-site 6 Months Paid Amount SGD
Online Reputation Management,Stirring Minds,HR / Admin / Operations,Work From Home,Work From Home,Immediately,6 Months,S$ 53-106 /month,SGD,Paid Amount,Per Month,False,53.0,106.0,79.5,Online Reputation Management Stirring Minds HR / Admin / Operations Work From Home Work From Home 6 Months Paid Amount SGD
Product Development And Procurement,Good Roots Kitchenware Private Limited,Technology / Data,Chennai,On-site,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Product Development And Procurement Good Roots Kitchenware Private Limited Technology / Data Chennai On-site 6 Months Paid Amount SGD
Customer Care,Stirring Minds,Other,Delhi,On-site,Immediately,6 Months,S$ 133-160 /month,SGD,Paid Amount,Per Month,False,133.0,160.0,146.5,Customer Care Stirring Minds Other Delhi On-site 6 Months Paid Amount SGD
Telecalling,Stirring Minds,Other,Delhi,On-site,Immediately,6 Months,S$ 200-239 /month,SGD,Paid Amount,Per Month,False,200.0,239.0,219.5,Telecalling Stirring Minds Other Delhi On-site 6 Months Paid Amount SGD
Media And Public Relations (PR),Stirring Minds,Other,Delhi,On-site,Immediately,6 Months,S$ 93-133 /month,SGD,Paid Amount,Per Month,False,93.0,133.0,113.0,Media And Public Relations (PR) Stirring Minds Other Delhi On-site 6 Months Paid Amount SGD
Digital Marketing,Wizrdom,Marketing / Sales,Bangalore,On-site,Immediately,6 Months,S$ 67-93 /month,SGD,Paid Amount,Per Month,False,67.0,93.0,80.0,Digital Marketing Wizrdom Marketing / Sales Bangalore On-site 6 Months Paid Amount SGD
Business Development (Sales),NOIR & BLANCO,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 80 /month,SGD,Paid Amount,Per Month,False,80.0,80.0,80.0,Business Development (Sales) NOIR & BLANCO Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
Trial Booking Pre-Sales,Purple Tutor,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 67-133 /month,SGD,Paid Amount,Per Month,False,67.0,133.0,100.0,Trial Booking Pre-Sales Purple Tutor Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Customer Support,Stirring Minds,Other,Delhi,On-site,Immediately,6 Months,S$ 80-160 /month,SGD,Paid Amount,Per Month,False,80.0,160.0,120.0,Customer Support Stirring Minds Other Delhi On-site 6 Months Paid Amount SGD
Full Stack Development,Stirring Minds,Technology / Data,Delhi,On-site,Immediately,6 Months,S$ 106-133 /month,SGD,Paid Amount,Per Month,False,106.0,133.0,119.5,Full Stack Development Stirring Minds Technology / Data Delhi On-site 6 Months Paid Amount SGD
Sales Coordination,Stirring Minds,Marketing / Sales,Delhi,On-site,Immediately,6 Months,S$ 80-160 /month,SGD,Paid Amount,Per Month,False,80.0,160.0,120.0,Sales Coordination Stirring Minds Marketing / Sales Delhi On-site 6 Months Paid Amount SGD
Social Media Marketing,Stirring Minds,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 67-160 /month,SGD,Paid Amount,Per Month,False,67.0,160.0,113.5,Social Media Marketing Stirring Minds Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Customer Support,CookandChef India Private Limited,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Customer Support CookandChef India Private Limited Other Work From Home Work From Home 6 Months Paid Amount SGD
AWS DevOps Engineer,Triluxo Technologies Private Limited,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 13-27 /month,SGD,Paid Amount,Per Month,False,13.0,27.0,20.0,AWS DevOps Engineer Triluxo Technologies Private Limited Other Work From Home Work From Home 6 Months Paid Amount SGD
Content Writing,Dream Jobs Solutions,Writing / Content,Work From Home,Work From Home,Immediately,6 Months,S$ 40 /month + Incentives,SGD,Paid Amount,Per Month,True,40.0,40.0,40.0,Content Writing Dream Jobs Solutions Writing / Content Work From Home Work From Home 6 Months Paid Amount SGD
Lead Generation,Top Talent Bridge,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 67 /month,SGD,Paid Amount,Per Month,False,67.0,67.0,67.0,Lead Generation Top Talent Bridge Other Work From Home Work From Home 6 Months Paid Amount SGD
Web Development,U4IC Life,Technology / Data,Noida,On-site,Immediately,6 Months,S$ 27-133 /month,SGD,Paid Amount,Per Month,False,27.0,133.0,80.0,Web Development U4IC Life Technology / Data Noida On-site 6 Months Paid Amount SGD
Subject Matter Expert (SME),Credque,Other,Bangalore,On-site,Immediately,6 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Subject Matter Expert (SME) Credque Other Bangalore On-site 6 Months Paid Amount SGD
Digital Marketing,Pranav Indulkar,Marketing / Sales,Work From Home,Work From Home,Immediately,6 Months,S$ 13 /month,SGD,Paid Amount,Per Month,False,13.0,13.0,13.0,Digital Marketing Pranav Indulkar Marketing / Sales Work From Home Work From Home 6 Months Paid Amount SGD
Web Development,Affiliated Recruiters,Technology / Data,Coimbatore,On-site,Immediately,6 Months,S$ 40 /month,SGD,Paid Amount,Per Month,False,40.0,40.0,40.0,Web Development Affiliated Recruiters Technology / Data Coimbatore On-site 6 Months Paid Amount SGD
Frontend Development,Faclon,Technology / Data,Work From Home,Work From Home,Immediately,6 Months,S$ 106-160 /month,SGD,Paid Amount,Per Month,False,106.0,160.0,133.0,Frontend Development Faclon Technology / Data Work From Home Work From Home 6 Months Paid Amount SGD
YouTube Content Creation,PrimeFlamingo,Writing / Content,Work From Home,Work From Home,Immediately,6 Months,S$ 13 /month,SGD,Paid Amount,Per Month,False,13.0,13.0,13.0,YouTube Content Creation PrimeFlamingo Writing / Content Work From Home Work From Home 6 Months Paid Amount SGD
Human Resources (HR),Stirring Minds,HR / Admin / Operations,Work From Home,Work From Home,Immediately,6 Months,S$ 13-40 /month,SGD,Paid Amount,Per Month,False,13.0,40.0,26.5,Human Resources (HR) Stirring Minds HR / Admin / Operations Work From Home Work From Home 6 Months Paid Amount SGD
Design & Portfolio Management,Sutra Luminis,Design / Creative,Noida,On-site,Immediately,6 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Design & Portfolio Management Sutra Luminis Design / Creative Noida On-site 6 Months Paid Amount SGD
"Web Development (HTML, CSS)",Stirring Minds,Technology / Data,Delhi,On-site,Immediately,6 Months,S$ 93-106 /month,SGD,Paid Amount,Per Month,False,93.0,106.0,99.5,"Web Development (HTML, CSS) Stirring Minds Technology / Data Delhi On-site 6 Months Paid Amount SGD"
Deals Management,Legacy Growth Partners LLP,HR / Admin / Operations,Delhi,On-site,Immediately,6 Months,S$ 53-80 /month,SGD,Paid Amount,Per Month,False,53.0,80.0,66.5,Deals Management Legacy Growth Partners LLP HR / Admin / Operations Delhi On-site 6 Months Paid Amount SGD
E-commerce Associate,Axe Consultancy And Security Services LLC,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 40-67 /month,SGD,Paid Amount,Per Month,False,40.0,67.0,53.5,E-commerce Associate Axe Consultancy And Security Services LLC Other Work From Home Work From Home 6 Months Paid Amount SGD
Digital Marketing,Raunak Doshi,Marketing / Sales,Kolkata,On-site,Immediately,6 Months,S$ 67-133 /month,SGD,Paid Amount,Per Month,False,67.0,133.0,100.0,Digital Marketing Raunak Doshi Marketing / Sales Kolkata On-site 6 Months Paid Amount SGD
Business Development (Sales),Accsus Management,Technology / Data,Ahmedabad,On-site,Immediately,6 Months,S$ 100-160 /month,SGD,Paid Amount,Per Month,False,100.0,160.0,130.0,Business Development (Sales) Accsus Management Technology / Data Ahmedabad On-site 6 Months Paid Amount SGD
WordPress Development,Stirring Minds,Technology / Data,Delhi,On-site,Immediately,6 Months,S$ 93-133 /month,SGD,Paid Amount,Per Month,False,93.0,133.0,113.0,WordPress Development Stirring Minds Technology / Data Delhi On-site 6 Months Paid Amount SGD
Entrepreneurship,Stirring Minds,Other,Work From Home,Work From Home,Immediately,6 Months,S$ 133-266 /month,SGD,Paid Amount,Per Month,False,133.0,266.0,199.5,Entrepreneurship Stirring Minds Other Work From Home Work From Home 6 Months Paid Amount SGD
