internship_title,company_name,category,location,work_mode,start_date,duration,stipend,currency,stipend_type,payment_period,has_incentives,stipend_min,stipend_max,stipend_average,search_text
Python Django Development,Across The Globe (ATG),Technology / Data,Work From Home,Work From Home,Immediately,3 Months,S$ 33 /month + Incentives,SGD,Paid Amount,Per Month,True,33.0,33.0,33.0,Python Django Development Across The Globe (ATG) Technology / Data Work From Home Work From Home 3 Months Paid Amount SGD
Python Automation,Across The Globe (ATG),Technology / Data,Work From Home,Work From Home,Immediately,3 Months,S$ 33 /month + Incentives,SGD,Paid Amount,Per Month,True,33.0,33.0,33.0,Python Automation Across The Globe (ATG) Technology / Data Work From Home Work From Home 3 Months Paid Amount SGD
HR & Admin,Modenik Lifestyle Private Limited,HR / Admin / Operations,Bangalore,On-site,Immediately,3 Months,S$ 106 /month,SGD,Paid Amount,Per Month,False,106.0,106.0,106.0,HR & Admin Modenik Lifestyle Private Limited HR / Admin / Operations Bangalore On-site 3 Months Paid Amount SGD
Resource Management,Techolution,HR / Admin / Operations,Hyderabad,On-site,Immediately,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Resource Management Techolution HR / Admin / Operations Hyderabad On-site 3 Months Paid Amount SGD
Project Management,IIT Bombay,HR / Admin / Operations,Work From Home,Work From Home,Immediately,3 Months,S$ 13-27 /month,SGD,Paid Amount,Per Month,False,13.0,27.0,20.0,Project Management IIT Bombay HR / Admin / Operations Work From Home Work From Home 3 Months Paid Amount SGD
Business Development,Ozzone Group,Technology / Data,Work From Home,Work From Home,Immediately,3 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Business Development Ozzone Group Technology / Data Work From Home Work From Home 3 Months Paid Amount SGD
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Technology / Data,Ahmedabad,On-site,Immediately,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Business Development (Sales) NoBroker Technologies Solutions Private Limited Technology / Data Ahmedabad On-site 3 Months Paid Amount SGD
Sales Promotion,IndiaFirst Life Private Limited,Marketing / Sales,Mumbai,On-site,Immediately,3 Months,S$ 333 /month,SGD,Paid Amount,Per Month,False,333.0,333.0,333.0,Sales Promotion IndiaFirst Life Private Limited Marketing / Sales Mumbai On-site 3 Months Paid Amount SGD
UI Design,Pepperfry,Design / Creative,Mumbai,On-site,Immediately,3 Months,S$ 266-333 /month,SGD,Paid Amount,Per Month,False,266.0,333.0,299.5,UI Design Pepperfry Design / Creative Mumbai On-site 3 Months Paid Amount SGD
Project Management (Marketing),Across The Globe (ATG),Marketing / Sales,Work From Home,Work From Home,Immediately,3 Months,S$ 33-93 /month,SGD,Paid Amount,Per Month,False,33.0,93.0,63.0,Project Management (Marketing) Across The Globe (ATG) Marketing / Sales Work From Home Work From Home 3 Months Paid Amount SGD
